Prénom;Nom;Spécialité Médicale;Horaires;Source Horaires;URL Source Horaires;Statut Horaires;Commentaire Horaires
DOMINIQUE;POIRIER;Médecine Générale;binet medicaux sont ouvertes de 8h à 19h du lundi a;www.info-docteur.com;https://www.info-docteur.com/poirier-dominique/426324/;Trouvé;Trouvé via snippet
LAURENT;COUTURIER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
IRMINE;POIGNANT;Médecine Générale;Lundi 08:00-20:00 | Mardi 08:00-20:00 | Mercredi 08:00-20:00 | Jeudi 08:00-20:00 | Vendredi 08:00-20:00 | Samedi 08:00-13:00 | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Bruges-Dr+Irmine+Poignant+-+M?decin+g?n?raliste-4605248U.html;Trouvé;Trouvé sur la page
ISABELLE;POIZAT;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
STEPHANIE;POIRIER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
AURELIE;PLOUARD;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MATHILDE;PLAUT;Médecine Générale;22 hours ago · Les horaires d’ouverture 8h15-12h00 14h00-18h;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Fegersheim-Dr.+Jacques+Jean+-+M?decine+g?n?rale+(Consultation+libre)-498028F.html;Trouvé;Trouvé via snippet
CHRISTELLE;PLONGERON;Médecine Générale;Lundi 08:30-19:00 | Mardi 08:30-19:00 | Mercredi 08:30-19:00 | Jeudi 08:30-19:00 | Vendredi 08:30-19:00 | Samedi 08:30-12:00 | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Thorigny-sur-Marne-Dr+Christelle+Plongeron+-+M?decin+g?n?raliste-5392456Q.html;Trouvé;Trouvé sur la page
PATRICK;POINSOT;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
DOMINIQUE;COURT;Médecine Générale;Vendredi : 16h à 18h | Jeudi : 10h à 12h;rosa.be;https://rosa.be/fr/results/medecin-generaliste/court-saint-etienne-1490/;Trouvé;Trouvé sur la page
JEAN BENOIT;COURCET;Pédiatrie;;;;Non trouvé;Aucun horaire trouvé
CATHERINE;COUMELET;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MARION;LAPRAY;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
LAURE;COUNIL;Médecine Générale;Lundi : 08:00 - 16:00 | Mardi : 08:00 - 19:00;www.medicum.fr;https://www.medicum.fr/spe-ville/medecin-generaliste/vair-loire/laure-counil;Trouvé;Trouvé via snippet
ALAIN;LAPLACE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
PIERRE;COULAUD;Médecine Générale;Pierre Coulaud est ouvert du lundi au samedi, de 09:00 à 17:30. Il est f;www.medicum.fr;https://www.medicum.fr/spe-ville/medecin-generaliste/vincennes/pierre-coulaud;Trouvé;Trouvé via snippet
QUENTIN;LAPIERRE;Médecine Générale;Médecin de famille Horaires du jour Ouvert 09h00 - 12h30 et 15h00;docteur-lapierre.sante.pro;https://docteur-lapierre.sante.pro/pages/contact;Trouvé;Trouvé via snippet
MARINE;LAPERROUSE;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
ERIC;COUJARD;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MARIANNE;LANGLOIS;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
LUC;LANGLOIS;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
ELISE;LANDIER;Médecine Générale;;;;Non trouvé;Aucun horaire trouvé
MARIE PIERRE;LANG;Médecine Générale;Lundi 09:00-19:00 | Mardi 09:00-19:00 | Mercredi 09:00-19:00 | Jeudi 09:00-19:00 | Vendredi 09:00-19:00 | Samedi 09:00-12:00 | Dimanche Fermé;www.horairesdouverture24.fr;https://www.horairesdouverture24.fr/filiale/Paris-Dr+Marie-Pierre+Lang+-+M?decin+g?n?raliste-4840700M.html;Trouvé;Trouvé sur la page
